Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,0,"(0, 60)",59,3,1,1,0.94,1,0.97,1,0,0,1.16,13.0,100,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,1,"(60, 120)",69,3,1,1,0.96,1,0.98,1,0,0,1.37,13.15,48,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,2,"(120, 180)",78,3,1,1,0.96,1,0.99,1,0,0,1.47,12.97,71,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,3,"(180, 240)",54,3,1,1,0.94,1,0.97,1,0,0,0.96,12.88,31,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,4,"(240, 300)",51,3,1,1,0.95,1,0.97,1,0,0,0.95,13.02,41,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,5,"(300, 360)",65,2,1,1,0.97,1,0.99,1,0,0,1.23,12.92,100,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,6,"(360, 420)",59,3,1,1,0.95,1,0.98,1,0,0,1.09,13.28,57,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,7,"(420, 480)",65,3,1,1,0.92,1,0.95,1,0,0,1.23,13.15,100,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,8,"(480, 540)",66,2,1,1,0.97,1,0.99,1,0,0,1.22,13.15,100,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,9,"(540, 600)",63,2,1,1,0.98,1,0.99,1,0,0,1.12,12.88,74,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,10,"(600, 660)",67,2,1,1,0.97,1,0.99,1,0,0,1.29,12.77,8,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,11,"(660, 720)",69,2,1,1,0.97,1,0.99,1,0,0,1.43,13.03,100,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,12,"(720, 780)",71,2,1,1,0.95,1,0.97,1,0,0,1.41,13.19,54,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,13,"(780, 840)",67,2,1,1,0.98,1,0.98,1,0,0,1.28,12.83,70,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,14,"(840, 900)",71,2,1,1,0.96,1,0.98,1,0,0,1.49,12.69,48,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,15,"(900, 960)",73,3,1,1,0.96,1,0.99,1,0,0,1.37,12.93,65,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,16,"(960, 1020)",89,3,1,1,0.97,1,0.99,1,0,0,1.74,12.95,63,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,17,"(1020, 1080)",95,3,1,1,0.97,1,0.99,1,0,0,1.86,13.23,32,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,18,"(1080, 1140)",101,3,1,1,0.97,1,0.99,1,0,0,1.98,13.08,100,0
19-01-16_YC011,34,111,1418,1,3,1,1,0.98,1,0,0,1,1.33,13.09,12.075715379714966,85,0,19,"(1140, 1200)",86,2,1,1,0.97,1,0.99,1,0,0,1.58,12.86,62,0
