Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Peaks_Wvf,Unit_vs_Temp_CS,Unit_vs_Temp_CS_t,Unit_RPV,Unit_Fp,Unit_MFR,Unit_MA,Unit_Peak_Detection_t,Unit_Drift_TR,Unit_Drif_TR_t,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Peaks_Wvf,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_t,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_t,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Drift_TR,Chunk_Drift_TR_t
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,0,"(0, 60)",418,2,1.0,1,1.0,1,0,0,7.96,13.69,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,1,"(60, 120)",422,2,0.99,1,1.0,1,0,0,8.12,13.76,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,2,"(120, 180)",392,2,1.0,1,1.0,1,0,0,7.5,13.8,0.97,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,3,"(180, 240)",251,2,0.99,1,1.0,1,0,0,4.69,13.5,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,4,"(240, 300)",280,2,1.0,1,1.0,1,0,0,5.33,13.67,0.99,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,5,"(300, 360)",274,2,1.0,1,1.0,1,0,0,5.09,13.6,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,6,"(360, 420)",296,2,1.0,1,1.0,1,0,0,5.63,13.49,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,7,"(420, 480)",244,2,0.99,1,1.0,1,0,0,4.84,13.46,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,8,"(480, 540)",263,2,0.99,1,1.0,1,0,0,5.27,13.81,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,9,"(540, 600)",219,2,0.99,1,1.0,1,0,0,4.11,13.45,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,10,"(600, 660)",276,2,0.99,1,1.0,1,0,0,5.38,13.6,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,11,"(660, 720)",261,2,0.99,1,1.0,1,0,0,4.92,13.59,0.97,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,12,"(720, 780)",217,2,0.99,1,1.0,1,0,0,4.01,13.78,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,13,"(780, 840)",207,2,0.99,1,1.0,1,0,0,3.86,13.7,0.97,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,14,"(840, 900)",233,2,0.99,1,1.0,1,0,0,4.57,13.43,0.97,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,15,"(900, 960)",226,2,0.99,1,1.0,1,0,0,4.23,13.38,0.99,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,16,"(960, 1020)",303,2,0.99,1,1.0,1,0,0,5.8,13.55,0.97,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,17,"(1020, 1080)",258,2,1.0,1,1.0,1,0,0,4.95,13.45,0.99,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,18,"(1080, 1140)",271,2,1.0,1,1.0,1,0,0,5.09,13.5,0.98,1
19-01-16_YC011,18,61,5550,2,1.0,1,0,0,5.32,13.76,11.41,0.98,1,19,"(1140, 1200)",239,2,1.0,1,1.0,1,0,0,4.51,13.47,0.99,1
