Sample,Unit,Unit_Peak_Ch,Unit_Spikes,Unit_Spikes_dummy,Unit_Wvf_Peaks,Unit_Wvf_Peaks_dummy,Unit_Biggest_Peak,Unit_vs_Temp_CS,Unit_vs_Temp_CS_dummy,Unit_RPV,Unit_Fp,Unit_Fp_dummy,Unit_MFR,Unit_MeanAmp,Unit_MinAmp,Unit_Missing_Spikes,Unit_Missing_Spikes_dummy,Chunk,Chunk_Len,Chunk_Spikes,Chunk_Wvf_Peaks,Chunk_Wvf_Peaks_dummy,Chunk_Biggest_Peak,Chunk_vs_Temp_CS,Chunk_vs_Temp_CS_dummy,Chunk_vs_Unit_CS,Chunk_vs_Unit_CS_dummy,Chunk_RPV,Chunk_Fp,Chunk_MFR,Chunk_MA,Chunk_Missing_Spikes,Chunk_Missing_Spikes_dummy
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,0,"(0, 60)",148,4,0,1,0.78,1,0.95,1,0,0,2.9,12.92,47,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,1,"(60, 120)",230,2,1,1,0.84,1,0.98,1,0,0,4.37,12.88,94,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,2,"(120, 180)",320,4,0,1,0.84,1,0.98,1,0,0,6.44,13.0,66,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,3,"(180, 240)",337,2,1,1,0.9,1,0.99,1,0,0,6.48,12.81,62,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,4,"(240, 300)",361,2,1,1,0.89,1,1.0,1,0,0,6.8,12.9,60,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,5,"(300, 360)",425,2,1,1,0.9,1,1.0,1,0,0,8.31,12.97,65,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,6,"(360, 420)",650,2,1,1,0.88,1,1.0,1,0,0,12.25,13.05,58,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,7,"(420, 480)",662,2,1,1,0.89,1,1.0,1,0,0,12.36,12.97,72,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,8,"(480, 540)",545,2,1,1,0.9,1,0.98,1,0,0,10.37,12.99,74,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,9,"(540, 600)",595,2,1,1,0.89,1,0.99,1,0,0,11.16,13.1,97,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,10,"(600, 660)",614,2,1,1,0.88,1,1.0,1,0,0,11.68,13.0,49,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,11,"(660, 720)",568,2,1,1,0.89,1,0.99,1,0,0,10.72,13.01,86,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,12,"(720, 780)",683,2,1,1,0.9,1,1.0,1,0,0,12.93,13.08,89,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,13,"(780, 840)",863,2,1,1,0.9,1,1.0,1,0,0,16.19,13.05,74,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,14,"(840, 900)",759,2,1,1,0.9,1,1.0,1,0,0,14.31,13.12,89,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,15,"(900, 960)",663,2,1,1,0.9,1,1.0,1,0,0,12.52,13.0,91,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,16,"(960, 1020)",652,2,1,1,0.9,1,1.0,1,0,0,12.19,13.03,48,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,17,"(1020, 1080)",593,2,1,1,0.9,1,1.0,1,0,0,11.35,12.97,51,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,18,"(1080, 1140)",616,2,1,1,0.91,1,1.0,1,0,0,11.53,12.99,99,0
19-01-16_YC011,101,196,10883,1,2,1,1,0.9,1,0,0,1,10.81,13.1,12.066352882385253,77,0,19,"(1140, 1200)",599,2,1,1,0.9,1,1.0,1,0,0,11.18,12.98,98,0
